USGG10YR Index;;GCAN10YR Index;;GUKG10 Index;;GDBR10 Index;;GFRN10 Index;;GBTPGR10 Index;
Date;PX_LAST;Date;PX_LAST;Date;PX_LAST;Date;PX_LAST;Date;PX_LAST;Date;PX_LAST
03.01.2000;6.592;03.01.2000;6.346;03.01.2000;5.414;03.01.2000;5.478;03.01.2000;5.593;03.01.2000;5.729
04.01.2000;6.497;04.01.2000;6.402;04.01.2000;5.662;04.01.2000;5.492;04.01.2000;5.611;04.01.2000;5.728
05.01.2000;6.594;05.01.2000;6.476;05.01.2000;5.754;05.01.2000;5.516;05.01.2000;5.643;05.01.2000;5.738
06.01.2000;6.524;06.01.2000;6.41;06.01.2000;5.763;06.01.2000;5.545;06.01.2000;5.678;06.01.2000;5.784
07.01.2000;6.515;07.01.2000;6.406;07.01.2000;5.707;07.01.2000;5.443;07.01.2000;5.567;07.01.2000;5.667
10.01.2000;6.552;10.01.2000;6.421;10.01.2000;5.63;10.01.2000;5.415;10.01.2000;5.53;10.01.2000;5.644
11.01.2000;6.657;11.01.2000;6.482;11.01.2000;5.715;11.01.2000;5.541;11.01.2000;5.657;11.01.2000;5.774
12.01.2000;6.703;12.01.2000;6.508;12.01.2000;5.757;12.01.2000;5.549;12.01.2000;5.67;12.01.2000;5.792
13.01.2000;6.63;13.01.2000;6.447;13.01.2000;5.663;13.01.2000;5.514;13.01.2000;5.635;13.01.2000;5.762
14.01.2000;6.679;14.01.2000;6.485;14.01.2000;5.71;14.01.2000;5.552;14.01.2000;5.665;14.01.2000;5.802
17.01.2000;6.681;17.01.2000;6.487;17.01.2000;5.77;17.01.2000;5.559;17.01.2000;5.672;17.01.2000;5.801
18.01.2000;6.748;18.01.2000;6.552;18.01.2000;5.867;18.01.2000;5.644;18.01.2000;5.758;18.01.2000;5.879
19.01.2000;6.732;19.01.2000;6.572;19.01.2000;5.801;19.01.2000;5.601;19.01.2000;5.718;19.01.2000;5.856
20.01.2000;6.788;20.01.2000;6.604;20.01.2000;5.844;20.01.2000;5.581;20.01.2000;5.713;20.01.2000;5.832
21.01.2000;6.765;21.01.2000;6.588;21.01.2000;5.8;21.01.2000;5.584;21.01.2000;5.705;21.01.2000;5.833
24.01.2000;6.685;24.01.2000;6.496;24.01.2000;5.774;24.01.2000;5.57;24.01.2000;5.698;24.01.2000;5.826
25.01.2000;6.692;25.01.2000;6.508;25.01.2000;5.706;25.01.2000;5.515;25.01.2000;5.637;25.01.2000;5.75
26.01.2000;6.664;26.01.2000;6.434;26.01.2000;5.705;26.01.2000;5.526;26.01.2000;5.649;26.01.2000;5.769
27.01.2000;6.692;27.01.2000;6.529;27.01.2000;5.815;27.01.2000;5.628;27.01.2000;5.751;27.01.2000;5.871
28.01.2000;6.658;28.01.2000;6.532;28.01.2000;5.84;28.01.2000;5.63;28.01.2000;5.733;28.01.2000;5.895
31.01.2000;6.665;31.01.2000;6.538;31.01.2000;5.738;31.01.2000;5.541;31.01.2000;5.657;31.01.2000;5.782
01.02.2000;6.619;01.02.2000;6.485;01.02.2000;5.591;01.02.2000;5.459;01.02.2000;5.592;01.02.2000;5.703
02.02.2000;6.573;02.02.2000;6.422;02.02.2000;5.608;02.02.2000;5.47;02.02.2000;5.611;02.02.2000;5.722
03.02.2000;6.489;03.02.2000;6.321;03.02.2000;5.552;03.02.2000;5.443;03.02.2000;5.572;03.02.2000;5.689
04.02.2000;6.549;04.02.2000;6.431;04.02.2000;5.642;04.02.2000;5.494;04.02.2000;5.636;04.02.2000;5.775
07.02.2000;6.639;07.02.2000;6.471;07.02.2000;5.658;07.02.2000;5.53;07.02.2000;5.661;07.02.2000;5.772
08.02.2000;6.613;08.02.2000;6.425;08.02.2000;5.616;08.02.2000;5.482;08.02.2000;5.607;08.02.2000;5.722
09.02.2000;6.66;09.02.2000;6.454;09.02.2000;5.653;09.02.2000;5.516;09.02.2000;5.646;09.02.2000;5.769
10.02.2000;6.671;10.02.2000;6.523;10.02.2000;5.692;10.02.2000;5.595;10.02.2000;5.718;10.02.2000;5.852
11.02.2000;6.604;11.02.2000;6.462;11.02.2000;5.648;11.02.2000;5.599;11.02.2000;5.711;11.02.2000;5.847
14.02.2000;6.554;14.02.2000;6.427;14.02.2000;5.578;14.02.2000;5.538;14.02.2000;5.654;14.02.2000;5.781
15.02.2000;6.552;15.02.2000;6.447;15.02.2000;5.592;15.02.2000;5.562;15.02.2000;5.682;15.02.2000;5.805
16.02.2000;6.545;16.02.2000;6.449;16.02.2000;5.696;16.02.2000;5.594;16.02.2000;5.716;16.02.2000;5.885
17.02.2000;6.567;17.02.2000;6.449;17.02.2000;5.654;17.02.2000;5.594;17.02.2000;5.718;17.02.2000;5.847
18.02.2000;6.489;18.02.2000;6.333;18.02.2000;5.607;18.02.2000;5.571;18.02.2000;5.703;18.02.2000;5.845
21.02.2000;6.493;21.02.2000;6.289;21.02.2000;5.526;21.02.2000;5.514;21.02.2000;5.64;21.02.2000;5.771
22.02.2000;6.361;22.02.2000;6.126;22.02.2000;5.431;22.02.2000;5.415;22.02.2000;5.542;22.02.2000;5.673
23.02.2000;6.422;23.02.2000;6.194;23.02.2000;5.451;23.02.2000;5.443;23.02.2000;5.577;23.02.2000;5.702
24.02.2000;6.365;24.02.2000;6.085;24.02.2000;5.351;24.02.2000;5.398;24.02.2000;5.529;24.02.2000;5.657
25.02.2000;6.326;25.02.2000;6.069;25.02.2000;5.343;25.02.2000;5.45;25.02.2000;5.585;25.02.2000;5.718
28.02.2000;6.422;28.02.2000;6.156;28.02.2000;5.363;28.02.2000;5.488;28.02.2000;5.625;28.02.2000;5.754
29.02.2000;6.409;29.02.2000;6.126;29.02.2000;5.45;29.02.2000;5.5;29.02.2000;5.634;29.02.2000;5.765
01.03.2000;6.386;01.03.2000;6.1;01.03.2000;5.422;01.03.2000;5.486;01.03.2000;5.614;01.03.2000;5.752
02.03.2000;6.384;02.03.2000;6.105;02.03.2000;5.446;02.03.2000;5.527;02.03.2000;5.652;02.03.2000;5.781
03.03.2000;6.388;03.03.2000;6.086;03.03.2000;5.369;03.03.2000;5.461;03.03.2000;5.577;03.03.2000;5.713
06.03.2000;6.411;06.03.2000;6.136;06.03.2000;5.312;06.03.2000;5.454;06.03.2000;5.573;06.03.2000;5.718
07.03.2000;6.373;07.03.2000;6.113;07.03.2000;5.284;07.03.2000;5.432;07.03.2000;5.55;07.03.2000;5.705
08.03.2000;6.379;08.03.2000;6.116;08.03.2000;5.294;08.03.2000;5.453;08.03.2000;5.571;08.03.2000;5.72
09.03.2000;6.343;09.03.2000;6.101;09.03.2000;5.249;09.03.2000;5.345;09.03.2000;5.462;09.03.2000;5.614
10.03.2000;6.383;10.03.2000;6.145;10.03.2000;5.292;10.03.2000;5.37;10.03.2000;5.489;10.03.2000;5.634
13.03.2000;6.37;13.03.2000;6.114;13.03.2000;5.281;13.03.2000;5.325;13.03.2000;5.444;13.03.2000;5.588
14.03.2000;6.292;14.03.2000;6.065;14.03.2000;5.309;14.03.2000;5.359;14.03.2000;5.48;14.03.2000;5.631
15.03.2000;6.291;15.03.2000;6.1;15.03.2000;5.289;15.03.2000;5.333;15.03.2000;5.45;15.03.2000;5.609
16.03.2000;6.245;16.03.2000;6.069;16.03.2000;5.171;16.03.2000;5.272;16.03.2000;5.391;16.03.2000;5.554
17.03.2000;6.194;17.03.2000;6;17.03.2000;5.122;17.03.2000;5.241;17.03.2000;5.361;17.03.2000;5.516
20.03.2000;6.183;20.03.2000;5.972;20.03.2000;5.161;20.03.2000;5.242;20.03.2000;5.362;20.03.2000;5.512
21.03.2000;6.135;21.03.2000;5.92;21.03.2000;5.182;21.03.2000;5.221;21.03.2000;5.34;21.03.2000;5.491
22.03.2000;6.112;22.03.2000;5.918;22.03.2000;5.268;22.03.2000;5.257;22.03.2000;5.377;22.03.2000;5.533
23.03.2000;6.078;23.03.2000;5.898;23.03.2000;5.212;23.03.2000;5.199;23.03.2000;5.317;23.03.2000;5.48
24.03.2000;6.191;24.03.2000;5.999;24.03.2000;5.237;24.03.2000;5.248;24.03.2000;5.377;24.03.2000;5.533
27.03.2000;6.185;27.03.2000;6.006;27.03.2000;5.37;27.03.2000;5.316;27.03.2000;5.442;27.03.2000;5.597
28.03.2000;6.151;28.03.2000;5.995;28.03.2000;5.329;28.03.2000;5.278;28.03.2000;5.395;28.03.2000;5.556
29.03.2000;6.147;29.03.2000;6.046;29.03.2000;5.328;29.03.2000;5.308;29.03.2000;5.431;29.03.2000;5.592
30.03.2000;6.055;30.03.2000;5.954;30.03.2000;5.256;30.03.2000;5.257;30.03.2000;5.381;30.03.2000;5.539
31.03.2000;6.004;31.03.2000;5.922;31.03.2000;5.239;31.03.2000;5.216;31.03.2000;5.341;31.03.2000;5.507
03.04.2000;5.965;03.04.2000;5.892;03.04.2000;5.199;03.04.2000;5.194;03.04.2000;5.316;03.04.2000;5.478
04.04.2000;5.895;04.04.2000;5.819;04.04.2000;5.233;04.04.2000;5.182;04.04.2000;5.313;04.04.2000;5.455
05.04.2000;5.872;05.04.2000;5.849;05.04.2000;5.151;05.04.2000;5.132;05.04.2000;5.255;05.04.2000;5.43
06.04.2000;5.934;06.04.2000;5.856;06.04.2000;5.23;06.04.2000;5.202;06.04.2000;5.321;06.04.2000;5.486
07.04.2000;5.853;07.04.2000;5.823;07.04.2000;5.169;07.04.2000;5.184;07.04.2000;5.307;07.04.2000;5.463
10.04.2000;5.771;10.04.2000;5.763;10.04.2000;5.204;10.04.2000;5.163;10.04.2000;5.282;10.04.2000;5.441
11.04.2000;5.882;11.04.2000;5.827;11.04.2000;5.175;11.04.2000;5.162;11.04.2000;5.284;11.04.2000;5.454
12.04.2000;5.935;12.04.2000;5.855;12.04.2000;5.198;12.04.2000;5.186;12.04.2000;5.305;12.04.2000;5.463
13.04.2000;5.906;13.04.2000;5.842;13.04.2000;5.24;13.04.2000;5.198;13.04.2000;5.315;13.04.2000;5.473
14.04.2000;5.85;14.04.2000;5.799;14.04.2000;5.259;14.04.2000;5.237;14.04.2000;5.356;14.04.2000;5.498
17.04.2000;6.038;17.04.2000;5.908;17.04.2000;5.284;17.04.2000;5.225;17.04.2000;5.344;17.04.2000;5.503
18.04.2000;6.059;18.04.2000;5.945;18.04.2000;5.272;18.04.2000;5.253;18.04.2000;5.372;18.04.2000;5.528
19.04.2000;5.992;19.04.2000;5.931;19.04.2000;5.285;19.04.2000;5.28;19.04.2000;5.394;19.04.2000;5.568
20.04.2000;5.994;20.04.2000;5.997;20.04.2000;5.293;20.04.2000;5.294;20.04.2000;5.408;20.04.2000;5.591
21.04.2000;5.987;21.04.2000;5.997;21.04.2000;5.294;21.04.2000;5.298;21.04.2000;5.412;21.04.2000;5.584
24.04.2000;6.017;24.04.2000;6.04;24.04.2000;5.294;24.04.2000;5.289;25.04.2000;5.454;25.04.2000;5.612
25.04.2000;6.128;25.04.2000;6.113;25.04.2000;5.341;25.04.2000;5.334;26.04.2000;5.391;26.04.2000;5.559
26.04.2000;6.13;26.04.2000;6.108;26.04.2000;5.299;26.04.2000;5.283;27.04.2000;5.414;27.04.2000;5.581
27.04.2000;6.223;27.04.2000;6.201;27.04.2000;5.266;27.04.2000;5.301;28.04.2000;5.408;28.04.2000;5.581
28.04.2000;6.212;28.04.2000;6.17;28.04.2000;5.21;28.04.2000;5.298;01.05.2000;5.41;01.05.2000;5.578
01.05.2000;6.278;01.05.2000;6.208;01.05.2000;5.21;01.05.2000;5.297;02.05.2000;5.461;02.05.2000;5.616
02.05.2000;6.299;02.05.2000;6.206;02.05.2000;5.238;02.05.2000;5.343;03.05.2000;5.542;03.05.2000;5.716
03.05.2000;6.401;03.05.2000;6.282;03.05.2000;5.245;03.05.2000;5.391;04.05.2000;5.584;04.05.2000;5.772
04.05.2000;6.427;04.05.2000;6.297;04.05.2000;5.354;04.05.2000;5.431;05.05.2000;5.584;05.05.2000;5.777
05.05.2000;6.505;05.05.2000;6.321;05.05.2000;5.396;05.05.2000;5.421;08.05.2000;5.538;08.05.2000;5.73
08.05.2000;6.56;08.05.2000;6.38;08.05.2000;5.35;08.05.2000;5.388;09.05.2000;5.502;09.05.2000;5.694
09.05.2000;6.529;09.05.2000;6.34;09.05.2000;5.303;09.05.2000;5.355;10.05.2000;5.482;10.05.2000;5.674
10.05.2000;6.42;10.05.2000;6.246;10.05.2000;5.299;10.05.2000;5.337;11.05.2000;5.578;11.05.2000;5.758
11.05.2000;6.409;11.05.2000;6.25;11.05.2000;5.41;11.05.2000;5.419;12.05.2000;5.552;12.05.2000;5.75
12.05.2000;6.512;12.05.2000;6.312;12.05.2000;5.407;12.05.2000;5.394;15.05.2000;5.534;15.05.2000;5.739
15.05.2000;6.446;15.05.2000;6.282;15.05.2000;5.348;15.05.2000;5.375;16.05.2000;5.5;16.05.2000;5.704
16.05.2000;6.424;16.05.2000;6.247;16.05.2000;5.312;16.05.2000;5.348;17.05.2000;5.583;17.05.2000;5.791
17.05.2000;6.496;17.05.2000;6.282;17.05.2000;5.423;17.05.2000;5.414;18.05.2000;5.59;18.05.2000;5.818
18.05.2000;6.54;18.05.2000;6.296;18.05.2000;5.477;18.05.2000;5.422;19.05.2000;5.606;19.05.2000;5.862
19.05.2000;6.494;19.05.2000;6.261;19.05.2000;5.496;19.05.2000;5.416;22.05.2000;5.524;22.05.2000;5.774
22.05.2000;6.439;22.05.2000;6.188;22.05.2000;5.414;22.05.2000;5.333;23.05.2000;5.52;23.05.2000;5.743
23.05.2000;6.435;23.05.2000;6.211;23.05.2000;5.442;23.05.2000;5.342;24.05.2000;5.47;24.05.2000;5.685
24.05.2000;6.47;24.05.2000;6.264;24.05.2000;5.396;24.05.2000;5.313;25.05.2000;5.412;25.05.2000;5.633
25.05.2000;6.394;25.05.2000;6.189;25.05.2000;5.312;25.05.2000;5.259;26.05.2000;5.353;26.05.2000;5.568
26.05.2000;6.331;26.05.2000;6.087;26.05.2000;5.226;26.05.2000;5.202;29.05.2000;5.4;29.05.2000;5.618
29.05.2000;6.326;29.05.2000;6.075;29.05.2000;5.225;29.05.2000;5.239;30.05.2000;5.417;30.05.2000;5.605
30.05.2000;6.376;30.05.2000;6.12;30.05.2000;5.247;30.05.2000;5.241;31.05.2000;5.361;31.05.2000;5.572
31.05.2000;6.272;31.05.2000;6.031;31.05.2000;5.175;31.05.2000;5.191;01.06.2000;5.275;01.06.2000;5.535
01.06.2000;6.191;01.06.2000;5.95;01.06.2000;5.129;01.06.2000;5.113;02.06.2000;5.243;02.06.2000;5.497
02.06.2000;6.152;02.06.2000;5.876;02.06.2000;5.039;02.06.2000;5.089;05.06.2000;5.244;05.06.2000;5.476
05.06.2000;6.122;05.06.2000;5.933;05.06.2000;5.07;05.06.2000;5.095;06.06.2000;5.285;06.06.2000;5.53
06.06.2000;6.122;06.06.2000;5.934;06.06.2000;5.111;06.06.2000;5.138;07.06.2000;5.286;07.06.2000;5.512
07.06.2000;6.141;07.06.2000;5.977;07.06.2000;5.113;07.06.2000;5.126;08.06.2000;5.367;08.06.2000;5.599
08.06.2000;6.124;08.06.2000;5.979;08.06.2000;5.162;08.06.2000;5.185;09.06.2000;5.322;09.06.2000;5.562
09.06.2000;6.126;09.06.2000;5.973;09.06.2000;5.118;09.06.2000;5.147;12.06.2000;5.324;12.06.2000;5.55
12.06.2000;6.071;12.06.2000;5.929;12.06.2000;5.108;12.06.2000;5.153;13.06.2000;5.283;13.06.2000;5.513
13.06.2000;6.116;13.06.2000;5.927;13.06.2000;5.098;13.06.2000;5.119;14.06.2000;5.324;14.06.2000;5.551
14.06.2000;6.041;14.06.2000;5.887;14.06.2000;5.128;14.06.2000;5.151;15.06.2000;5.327;15.06.2000;5.566
15.06.2000;6.05;15.06.2000;5.894;15.06.2000;5.164;15.06.2000;5.161;16.06.2000;5.25;16.06.2000;5.492
16.06.2000;5.971;16.06.2000;5.841;16.06.2000;5.056;16.06.2000;5.09;19.06.2000;5.275;19.06.2000;5.507
19.06.2000;5.999;19.06.2000;5.841;19.06.2000;5.078;19.06.2000;5.111;20.06.2000;5.279;20.06.2000;5.515
20.06.2000;6.02;20.06.2000;5.877;20.06.2000;5.127;20.06.2000;5.112;21.06.2000;5.366;21.06.2000;5.594
21.06.2000;6.113;21.06.2000;5.958;21.06.2000;5.233;21.06.2000;5.202;22.06.2000;5.397;22.06.2000;5.623
22.06.2000;6.104;22.06.2000;5.97;22.06.2000;5.22;22.06.2000;5.23;23.06.2000;5.428;23.06.2000;5.646
23.06.2000;6.185;23.06.2000;6.031;23.06.2000;5.266;23.06.2000;5.257;26.06.2000;5.399;26.06.2000;5.638
26.06.2000;6.102;26.06.2000;5.962;26.06.2000;5.234;26.06.2000;5.236;27.06.2000;5.404;27.06.2000;5.642
27.06.2000;6.085;27.06.2000;5.942;27.06.2000;5.238;27.06.2000;5.244;28.06.2000;5.414;28.06.2000;5.649
28.06.2000;6.1;28.06.2000;5.952;28.06.2000;5.223;28.06.2000;5.249;29.06.2000;5.357;29.06.2000;5.596
29.06.2000;6.027;29.06.2000;5.866;29.06.2000;5.167;29.06.2000;5.2;30.06.2000;5.379;30.06.2000;5.59
30.06.2000;6.031;30.06.2000;5.856;30.06.2000;5.171;30.06.2000;5.221;03.07.2000;5.437;03.07.2000;5.632
03.07.2000;5.989;03.07.2000;5.838;03.07.2000;5.205;03.07.2000;5.267;04.07.2000;5.439;04.07.2000;5.631
05.07.2000;5.984;04.07.2000;5.815;04.07.2000;5.173;04.07.2000;5.269;05.07.2000;5.401;05.07.2000;5.588
06.07.2000;6.048;05.07.2000;5.826;05.07.2000;5.127;05.07.2000;5.232;06.07.2000;5.477;06.07.2000;5.64
07.07.2000;6.001;06.07.2000;5.858;06.07.2000;5.191;06.07.2000;5.309;07.07.2000;5.413;07.07.2000;5.582
10.07.2000;6.035;07.07.2000;5.836;07.07.2000;5.117;07.07.2000;5.258;10.07.2000;5.439;10.07.2000;5.604
11.07.2000;6.048;10.07.2000;5.858;10.07.2000;5.177;10.07.2000;5.283;11.07.2000;5.385;11.07.2000;5.571
12.07.2000;6.08;11.07.2000;5.867;11.07.2000;5.152;11.07.2000;5.244;12.07.2000;5.423;12.07.2000;5.613
13.07.2000;6.005;12.07.2000;5.884;12.07.2000;5.146;12.07.2000;5.275;13.07.2000;5.398;13.07.2000;5.588
14.07.2000;6.096;13.07.2000;5.836;13.07.2000;5.159;13.07.2000;5.255;14.07.2000;5.454;14.07.2000;5.643
17.07.2000;6.148;14.07.2000;5.914;14.07.2000;5.247;14.07.2000;5.302;17.07.2000;5.47;17.07.2000;5.653
18.07.2000;6.141;17.07.2000;5.969;17.07.2000;5.261;17.07.2000;5.324;18.07.2000;5.467;18.07.2000;5.653
19.07.2000;6.154;18.07.2000;5.991;18.07.2000;5.243;18.07.2000;5.329;19.07.2000;5.443;19.07.2000;5.631
20.07.2000;6.002;19.07.2000;6.007;19.07.2000;5.209;19.07.2000;5.314;20.07.2000;5.394;20.07.2000;5.583
21.07.2000;5.998;20.07.2000;5.88;20.07.2000;5.194;20.07.2000;5.268;21.07.2000;5.385;21.07.2000;5.59
24.07.2000;6.034;21.07.2000;5.88;21.07.2000;5.146;21.07.2000;5.258;24.07.2000;5.385;24.07.2000;5.583
25.07.2000;6.028;24.07.2000;5.917;24.07.2000;5.155;24.07.2000;5.257;25.07.2000;5.345;25.07.2000;5.559
26.07.2000;6.027;25.07.2000;5.917;25.07.2000;5.143;25.07.2000;5.218;26.07.2000;5.303;26.07.2000;5.512
27.07.2000;6;26.07.2000;5.897;26.07.2000;5.126;26.07.2000;5.165;27.07.2000;5.317;27.07.2000;5.527
28.07.2000;6.034;27.07.2000;5.87;27.07.2000;5.135;27.07.2000;5.173;28.07.2000;5.346;28.07.2000;5.551
31.07.2000;6.031;28.07.2000;5.89;28.07.2000;5.223;28.07.2000;5.198;31.07.2000;5.354;31.07.2000;5.557
01.08.2000;5.984;31.07.2000;5.888;31.07.2000;5.222;31.07.2000;5.206;01.08.2000;5.299;01.08.2000;5.512
02.08.2000;5.976;01.08.2000;5.827;01.08.2000;5.194;01.08.2000;5.157;02.08.2000;5.318;02.08.2000;5.526
03.08.2000;5.952;02.08.2000;5.801;02.08.2000;5.218;02.08.2000;5.175;03.08.2000;5.33;03.08.2000;5.541
04.08.2000;5.901;03.08.2000;5.779;03.08.2000;5.211;03.08.2000;5.188;04.08.2000;5.333;04.08.2000;5.542
07.08.2000;5.956;04.08.2000;5.724;04.08.2000;5.244;04.08.2000;5.187;07.08.2000;5.31;07.08.2000;5.513
08.08.2000;5.92;07.08.2000;5.736;07.08.2000;5.22;07.08.2000;5.166;08.08.2000;5.34;08.08.2000;5.541
09.08.2000;5.916;08.08.2000;5.749;08.08.2000;5.213;08.08.2000;5.193;09.08.2000;5.32;09.08.2000;5.522
10.08.2000;5.763;09.08.2000;5.76;09.08.2000;5.217;09.08.2000;5.171;10.08.2000;5.293;10.08.2000;5.492
11.08.2000;5.79;10.08.2000;5.724;10.08.2000;5.229;10.08.2000;5.147;11.08.2000;5.305;11.08.2000;5.506
14.08.2000;5.771;11.08.2000;5.787;11.08.2000;5.181;11.08.2000;5.135;14.08.2000;5.329;14.08.2000;5.53
15.08.2000;5.802;14.08.2000;5.75;14.08.2000;5.239;14.08.2000;5.156;15.08.2000;5.372;15.08.2000;5.576
16.08.2000;5.838;15.08.2000;5.785;15.08.2000;5.282;15.08.2000;5.199;16.08.2000;5.378;16.08.2000;5.584
17.08.2000;5.81;16.08.2000;5.793;16.08.2000;5.283;16.08.2000;5.205;17.08.2000;5.37;17.08.2000;5.578
18.08.2000;5.773;17.08.2000;5.778;17.08.2000;5.297;17.08.2000;5.207;18.08.2000;5.362;18.08.2000;5.56
21.08.2000;5.781;18.08.2000;5.757;18.08.2000;5.277;18.08.2000;5.208;21.08.2000;5.418;21.08.2000;5.599
22.08.2000;5.775;21.08.2000;5.783;21.08.2000;5.323;21.08.2000;5.258;22.08.2000;5.396;22.08.2000;5.582
23.08.2000;5.727;22.08.2000;5.775;22.08.2000;5.322;22.08.2000;5.244;23.08.2000;5.374;23.08.2000;5.574
24.08.2000;5.719;23.08.2000;5.742;23.08.2000;5.292;23.08.2000;5.218;24.08.2000;5.375;24.08.2000;5.583
25.08.2000;5.729;24.08.2000;5.756;24.08.2000;5.252;24.08.2000;5.216;25.08.2000;5.392;25.08.2000;5.6
28.08.2000;5.777;25.08.2000;5.762;25.08.2000;5.266;25.08.2000;5.23;28.08.2000;5.409;28.08.2000;5.618
29.08.2000;5.808;28.08.2000;5.801;28.08.2000;5.265;28.08.2000;5.248;29.08.2000;5.468;29.08.2000;5.661
30.08.2000;5.8;29.08.2000;5.841;29.08.2000;5.322;29.08.2000;5.3;30.08.2000;5.469;30.08.2000;5.664
31.08.2000;5.725;30.08.2000;5.77;30.08.2000;5.331;30.08.2000;5.299;31.08.2000;5.463;31.08.2000;5.653
01.09.2000;5.679;31.08.2000;5.68;31.08.2000;5.337;31.08.2000;5.298;01.09.2000;5.342;01.09.2000;5.554
04.09.2000;5.683;01.09.2000;5.647;01.09.2000;5.24;01.09.2000;5.187;04.09.2000;5.357;04.09.2000;5.555
05.09.2000;5.689;04.09.2000;5.647;04.09.2000;5.244;04.09.2000;5.194;05.09.2000;5.374;05.09.2000;5.575
06.09.2000;5.724;05.09.2000;5.636;05.09.2000;5.275;05.09.2000;5.209;06.09.2000;5.4;06.09.2000;5.615
07.09.2000;5.752;06.09.2000;5.678;06.09.2000;5.284;06.09.2000;5.232;07.09.2000;5.413;07.09.2000;5.609
08.09.2000;5.739;07.09.2000;5.701;07.09.2000;5.263;07.09.2000;5.245;08.09.2000;5.444;08.09.2000;5.645
11.09.2000;5.766;08.09.2000;5.687;08.09.2000;5.325;08.09.2000;5.277;11.09.2000;5.438;11.09.2000;5.637
12.09.2000;5.772;11.09.2000;5.725;11.09.2000;5.331;11.09.2000;5.274;12.09.2000;5.446;12.09.2000;5.649
13.09.2000;5.724;12.09.2000;5.753;12.09.2000;5.399;12.09.2000;5.283;13.09.2000;5.431;13.09.2000;5.632
14.09.2000;5.785;13.09.2000;5.714;13.09.2000;5.4;13.09.2000;5.278;14.09.2000;5.425;14.09.2000;5.63
15.09.2000;5.84;14.09.2000;5.74;14.09.2000;5.338;14.09.2000;5.27;15.09.2000;5.461;15.09.2000;5.669
18.09.2000;5.871;15.09.2000;5.774;15.09.2000;5.376;15.09.2000;5.297;18.09.2000;5.499;18.09.2000;5.714
19.09.2000;5.852;18.09.2000;5.786;18.09.2000;5.385;18.09.2000;5.341;19.09.2000;5.477;19.09.2000;5.702
20.09.2000;5.897;19.09.2000;5.74;19.09.2000;5.357;19.09.2000;5.318;20.09.2000;5.477;20.09.2000;5.709
21.09.2000;5.823;20.09.2000;5.796;20.09.2000;5.358;20.09.2000;5.319;21.09.2000;5.429;21.09.2000;5.659
22.09.2000;5.848;21.09.2000;5.751;21.09.2000;5.327;21.09.2000;5.275;22.09.2000;5.39;22.09.2000;5.626
25.09.2000;5.837;22.09.2000;5.766;22.09.2000;5.281;22.09.2000;5.238;25.09.2000;5.434;25.09.2000;5.656
26.09.2000;5.802;25.09.2000;5.766;25.09.2000;5.339;25.09.2000;5.272;26.09.2000;5.407;26.09.2000;5.629
27.09.2000;5.821;26.09.2000;5.73;26.09.2000;5.33;26.09.2000;5.247;27.09.2000;5.442;27.09.2000;5.652
28.09.2000;5.812;27.09.2000;5.751;27.09.2000;5.317;27.09.2000;5.289;28.09.2000;5.414;28.09.2000;5.632
29.09.2000;5.802;28.09.2000;5.75;28.09.2000;5.301;28.09.2000;5.264;29.09.2000;5.381;29.09.2000;5.608
02.10.2000;5.823;29.09.2000;5.739;29.09.2000;5.195;29.09.2000;5.23;02.10.2000;5.393;02.10.2000;5.606
03.10.2000;5.867;02.10.2000;5.76;02.10.2000;5.197;02.10.2000;5.237;03.10.2000;5.395;03.10.2000;5.616
04.10.2000;5.886;03.10.2000;5.786;03.10.2000;5.203;03.10.2000;5.242;04.10.2000;5.4;04.10.2000;5.607
05.10.2000;5.852;04.10.2000;5.8;04.10.2000;5.213;04.10.2000;5.251;05.10.2000;5.408;05.10.2000;5.621
06.10.2000;5.812;05.10.2000;5.747;05.10.2000;5.218;05.10.2000;5.27;06.10.2000;5.384;06.10.2000;5.595
09.10.2000;5.823;06.10.2000;5.734;06.10.2000;5.201;06.10.2000;5.252;09.10.2000;5.349;09.10.2000;5.572
10.10.2000;5.772;09.10.2000;5.737;09.10.2000;5.118;09.10.2000;5.22;10.10.2000;5.356;10.10.2000;5.583
11.10.2000;5.774;10.10.2000;5.714;10.10.2000;5.125;10.10.2000;5.222;11.10.2000;5.312;11.10.2000;5.564
12.10.2000;5.709;11.10.2000;5.721;11.10.2000;5.097;11.10.2000;5.184;12.10.2000;5.304;12.10.2000;5.56
13.10.2000;5.724;12.10.2000;5.697;12.10.2000;5.075;12.10.2000;5.173;13.10.2000;5.334;13.10.2000;5.596
16.10.2000;5.732;13.10.2000;5.697;13.10.2000;5.091;13.10.2000;5.197;16.10.2000;5.342;16.10.2000;5.604
17.10.2000;5.673;16.10.2000;5.712;16.10.2000;5.095;16.10.2000;5.21;17.10.2000;5.352;17.10.2000;5.608
18.10.2000;5.667;17.10.2000;5.667;17.10.2000;5.113;17.10.2000;5.219;18.10.2000;5.345;18.10.2000;5.595
19.10.2000;5.655;18.10.2000;5.675;18.10.2000;5.095;18.10.2000;5.198;19.10.2000;5.351;19.10.2000;5.594
20.10.2000;5.632;19.10.2000;5.678;19.10.2000;5.118;19.10.2000;5.202;20.10.2000;5.343;20.10.2000;5.587
23.10.2000;5.584;20.10.2000;5.663;20.10.2000;5.121;20.10.2000;5.198;23.10.2000;5.343;23.10.2000;5.603
